title,date,text,page_url
Niger : une levée de fonds de 25 millions $ pour l’uranium de Dasa,28/01/2025,"Les perspectives pour le marché de l’uranium s’améliorent dans un contexte de regain d’intérêt pour l’énergie nucléaire. Au Niger, Global Atomic compte surfer sur la tendance et travaille pour accélérer le développement du projet Dasa.  
La compagnie canadienne Global Atomic prévoit de lever 36 millions de dollars canadiens (25 millions de dollars) pour faire avancer son... (lien) 
28/01/2025 - Niger : une levée de fonds de 25 millions $ pour l’uranium de Dasa",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
Sénégal : partenariat entre l’Etat et la CDC pour la transformation numérique,28/01/2025,"Dans le but de soutenir l’accélération de sa transformation numérique, les gouvernements multiplient les partenariats. Au Sénégal, les autorités se tournent vers une structure partageant la même vision que les objectifs étatiques.
Alioune Sall, ministre sénégalais de la Communication, des Télécommunications et de l’Économie numérique, a reçu le vendredi 24 janvier Fadilou... (lien) 
28/01/2025 - Sénégal : partenariat entre l’Etat et la CDC pour la transformation numérique",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
BGFIBank renforce son engagement envers la conformité avec une triple certification ISO de ses filiales,28/01/2025,"Le Groupe BGFIBank a marqué un tournant décisif dans sa démarche d’excellence en annonçant l’obtention simultanée de trois certifications ISO majeures par ses filiales BBS, BGFI Services, et Hedenia.
La cérémonie de remise des certifications s’est tenue le vendredi 24 janvier, en présence de Monsieur Henri-Claude Oyima, Président Directeur Général du Groupe BGFIBank, de Madame... (lien) 
28/01/2025 - BGFIBank renforce son engagement envers la conformité avec une triple certification ISO de ses filiales",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
"Elon Musk, le Sud-Africain",28/01/2025,"Après ce qu’il décrit comme un salut de l’Empire romain, et que plusieurs personnes ont plutôt vu comme un salut nazi, plusieurs médias se sont interrogés sur les opinions d’Elon Musk concernant les minorités raciales. C’était l’occasion de replonger dans le passé du milliardaire qui, jusqu’à ses 17 ans, a vécu dans l’Afrique du Sud de l’apartheid, où il est... (lien) 
28/01/2025 - Elon Musk, le Sud-Africain",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
Bénin : le plan de refonte du système de transport de Cotonou et ses périphéries se précise,28/01/2025,"En gestation depuis quelques années, les réseaux de transport fluvio-lagunaire et par bus pour les 3 principales villes du Sud du Bénin visent à implémenter de nouvelles options de transport. Celles traditionnelles semblent moins efficaces pour contrer la congestion persistante sur les routes.
Le plans de refonte du système de Transport de Cotonou a connu de nouvelles avancées avec la... (lien) 
28/01/2025 - Bénin : le plan de refonte du système de transport de Cotonou et ses périphéries se précise",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
Crises humanitaires en Afrique : l'impact du gel de l'aide américaine,28/01/2025,"En décembre 2024, les Nations Unies et leurs partenaires humanitaires ont lancé un appel pour mobiliser 7,6 milliards $ en 2025 afin de venir en aide à 35 millions de personnes touchées par les crises en Afrique de l’Ouest et du Centre.
Le décret signé par le président Donald Trump, qui suspend l'aide américaine à l'échelle mondiale, à l'exception d'Israël et de l'Egypte,... (lien) 
28/01/2025 - Crises humanitaires en Afrique : l'impact du gel de l'aide américaine",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
Burkina Faso : un nouveau dépôt de carburant pour assurer la sécurité énergétique,28/01/2025,"Le Burkina Faso, grand importateur de produits pétroliers, se fait livrer notamment des volumes de gasoil et d’essence en provenance de son voisin, le Niger, également fournisseur du Mali.
Le dimanche 26 janvier, Jean Emmanuel Ouédraogo, le Premier ministre du Burkina Faso, a inauguré une unité de stockage de carburant d’une capacité de 104 000 m³ à Péni, dans la région des... (lien) 
28/01/2025 - Burkina Faso : un nouveau dépôt de carburant pour assurer la sécurité énergétique",https://www.agenceecofin.com/a-la-une/recherche-article?filterTitle=&submit.x=0&submit.y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterDateFrom=&filterDateTo=&option=com_dmk2articlesfilter&view=articles&filterFrench=French&Itemid=269&userSearch=1&layout=#dmk2articlesfilter_results
Mali : CMDT obtient 240 millions $ pour ses activités dans le coton en 2024/2025,28/01/2025,"Au Mali, le coton est le deuxième produit d’exportation du pays après l’or. Pour le compte de la saison de récolte 2024/2025, la CMDT, l’entreprise chargée d’organiser la production et la commercialisation de la fibre, renforce son pouvoir d’achat avec l’appui de ses partenaires financiers.
La Compagnie Malienne pour le Développement des Textiles (CMDT) a signé le vendredi... (lien) 
28/01/2025 - Mali : CMDT obtient 240 millions $ pour ses activités dans le coton en 2024/2025",https://www.agenceecofin.com//a-la-une/recherche-article/articles?submit_x=0&submit_y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterFrench=French&userSearch=1&testlimitstart=7
Bénin : un programme de formation pour devenir journaliste reporter d’image,28/01/2025,"En réponse aux besoins de compétences des professionnels et des organismes de l’audiovisuel, le télédiffuseur Canal+ à travers son volet social forme les journalistes reporter d’images au Bénin.
Canal+ Impact propose un programme de formation en journalisme visuel au Bénin. Ce programme s’adresse aux étudiants en journalisme et aux journalistes qui partagent une passion pour... (lien) 
28/01/2025 - Bénin : un programme de formation pour devenir journaliste reporter d’image",https://www.agenceecofin.com//a-la-une/recherche-article/articles?submit_x=0&submit_y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterFrench=French&userSearch=1&testlimitstart=7
Tanzanie : la coentreprise avec Barrick a injecté 888 millions $ dans l’économie en 2024,28/01/2025,"En Tanzanie, l’or représente le principal produit d’exportation du secteur minier. Alors que le cours du métal jaune a progressé de près de 30 % en 2024, l’exploitation des mines aurifères continue de contribuer à l’économie locale.  
En 2024, Twiga Minerals, la coentreprise entre Barrick Gold et l’État tanzanien, a injecté 888 millions de dollars dans... (lien) 
28/01/2025 - Tanzanie : la coentreprise avec Barrick a injecté 888 millions $ dans l’économie en 2024",https://www.agenceecofin.com//a-la-une/recherche-article/articles?submit_x=0&submit_y=0&filterTousLesFils=Tous&filterCategories=Sous-rubrique&filterFrench=French&userSearch=1&testlimitstart=7
